x,y,value
7644196.51066868,2142821.314136316,-32768
7645123.136101819,2142821.314136316,-32768
7646049.761534957,2142821.314136316,-32768
7646976.386968096,2142821.314136316,-32768
7647903.012401233,2142821.314136316,-32768
7648829.637834372,2142821.314136316,-32768
7649756.263267511,2142821.314136316,-32768
7650682.888700649,2142821.314136316,-32768
7651609.514133787,2142821.314136316,-32768
7652536.139566925,2142821.314136316,-32768
7653462.765000064,2142821.314136316,-32768
7654389.3904332025,2142821.314136316,-32768
7655316.01586634,2142821.314136316,-32768
7656242.641299479,2142821.314136316,-32768
7657169.266732617,2142821.314136316,-32768
7658095.892165756,2142821.314136316,-32768
7659022.5175988935,2142821.314136316,-32768
7659949.143032032,2142821.314136316,-32768
7660875.768465171,2142821.314136316,-32768
7661802.393898309,2142821.314136316,-32768
7662729.019331447,2142821.314136316,-32768
7663655.644764585,2142821.314136316,-32768
7664582.270197724,2142821.314136316,-32768
7665508.895630862,2142821.314136316,-32768
7666435.521064,2142821.314136316,-32768
7667362.146497139,2142821.314136316,-32768
7668288.771930277,2142821.314136316,-32768
7669215.397363415,2142821.314136316,-32768
7644196.51066868,2141894.688703177,-32768
7645123.136101819,2141894.688703177,-32768
7646049.761534957,2141894.688703177,286
7646976.386968096,2141894.688703177,286
7647903.012401233,2141894.688703177,288
7648829.637834372,2141894.688703177,288
7649756.263267511,2141894.688703177,287
7650682.888700649,2141894.688703177,-32768
7651609.514133787,2141894.688703177,-32768
7652536.139566925,2141894.688703177,-32768
7653462.765000064,2141894.688703177,-32768
7654389.3904332025,2141894.688703177,-32768
7655316.01586634,2141894.688703177,-32768
7656242.641299479,2141894.688703177,-32768
7657169.266732617,2141894.688703177,-32768
7658095.892165756,2141894.688703177,-32768
7659022.5175988935,2141894.688703177,-32768
7659949.143032032,2141894.688703177,-32768
7660875.768465171,2141894.688703177,-32768
7661802.393898309,2141894.688703177,-32768
7662729.019331447,2141894.688703177,-32768
7663655.644764585,2141894.688703177,-32768
7664582.270197724,2141894.688703177,-32768
7665508.895630862,2141894.688703177,-32768
7666435.521064,2141894.688703177,-32768
7667362.146497139,2141894.688703177,-32768
7668288.771930277,2141894.688703177,-32768
7669215.397363415,2141894.688703177,-32768
7644196.51066868,2140968.063270038,-32768
7645123.136101819,2140968.063270038,-32768
7646049.761534957,2140968.063270038,-32768
7646976.386968096,2140968.063270038,288
7647903.012401233,2140968.063270038,288
7648829.637834372,2140968.063270038,289
7649756.263267511,2140968.063270038,288
7650682.888700649,2140968.063270038,285
7651609.514133787,2140968.063270038,276
7652536.139566925,2140968.063270038,-32768
7653462.765000064,2140968.063270038,-32768
7654389.3904332025,2140968.063270038,-32768
7655316.01586634,2140968.063270038,-32768
7656242.641299479,2140968.063270038,-32768
7657169.266732617,2140968.063270038,-32768
7658095.892165756,2140968.063270038,-32768
7659022.5175988935,2140968.063270038,-32768
7659949.143032032,2140968.063270038,-32768
7660875.768465171,2140968.063270038,-32768
7661802.393898309,2140968.063270038,-32768
7662729.019331447,2140968.063270038,-32768
7663655.644764585,2140968.063270038,-32768
7664582.270197724,2140968.063270038,-32768
7665508.895630862,2140968.063270038,-32768
7666435.521064,2140968.063270038,-32768
7667362.146497139,2140968.063270038,-32768
7668288.771930277,2140968.063270038,-32768
7669215.397363415,2140968.063270038,-32768
7644196.51066868,2140041.437836899,-32768
7645123.136101819,2140041.437836899,-32768
7646049.761534957,2140041.437836899,286
7646976.386968096,2140041.437836899,288
7647903.012401233,2140041.437836899,288
7648829.637834372,2140041.437836899,289
7649756.263267511,2140041.437836899,288
7650682.888700649,2140041.437836899,284
7651609.514133787,2140041.437836899,277
7652536.139566925,2140041.437836899,275
7653462.765000064,2140041.437836899,269
7654389.3904332025,2140041.437836899,275
7655316.01586634,2140041.437836899,-32768
7656242.641299479,2140041.437836899,-32768
7657169.266732617,2140041.437836899,-32768
7658095.892165756,2140041.437836899,-32768
7659022.5175988935,2140041.437836899,-32768
7659949.143032032,2140041.437836899,-32768
7660875.768465171,2140041.437836899,-32768
7661802.393898309,2140041.437836899,-32768
7662729.019331447,2140041.437836899,-32768
7663655.644764585,2140041.437836899,-32768
7664582.270197724,2140041.437836899,-32768
7665508.895630862,2140041.437836899,-32768
7666435.521064,2140041.437836899,-32768
7667362.146497139,2140041.437836899,-32768
7668288.771930277,2140041.437836899,-32768
7669215.397363415,2140041.437836899,-32768
7644196.51066868,2139114.8124037595,-32768
7645123.136101819,2139114.8124037595,-32768
7646049.761534957,2139114.8124037595,287
7646976.386968096,2139114.8124037595,288
7647903.012401233,2139114.8124037595,288
7648829.637834372,2139114.8124037595,288
7649756.263267511,2139114.8124037595,288
7650682.888700649,2139114.8124037595,286
7651609.514133787,2139114.8124037595,283
7652536.139566925,2139114.8124037595,281
7653462.765000064,2139114.8124037595,277
7654389.3904332025,2139114.8124037595,272
7655316.01586634,2139114.8124037595,272
7656242.641299479,2139114.8124037595,-32768
7657169.266732617,2139114.8124037595,-32768
7658095.892165756,2139114.8124037595,-32768
7659022.5175988935,2139114.8124037595,-32768
7659949.143032032,2139114.8124037595,-32768
7660875.768465171,2139114.8124037595,-32768
7661802.393898309,2139114.8124037595,-32768
7662729.019331447,2139114.8124037595,-32768
7663655.644764585,2139114.8124037595,-32768
7664582.270197724,2139114.8124037595,-32768
7665508.895630862,2139114.8124037595,-32768
7666435.521064,2139114.8124037595,-32768
7667362.146497139,2139114.8124037595,-32768
7668288.771930277,2139114.8124037595,-32768
7669215.397363415,2139114.8124037595,-32768
7644196.51066868,2138188.1869706204,-32768
7645123.136101819,2138188.1869706204,-32768
7646049.761534957,2138188.1869706204,287
7646976.386968096,2138188.1869706204,288
7647903.012401233,2138188.1869706204,288
7648829.637834372,2138188.1869706204,288
7649756.263267511,2138188.1869706204,288
7650682.888700649,2138188.1869706204,286
7651609.514133787,2138188.1869706204,285
7652536.139566925,2138188.1869706204,282
7653462.765000064,2138188.1869706204,280
7654389.3904332025,2138188.1869706204,276
7655316.01586634,2138188.1869706204,267
7656242.641299479,2138188.1869706204,268
7657169.266732617,2138188.1869706204,-32768
7658095.892165756,2138188.1869706204,-32768
7659022.5175988935,2138188.1869706204,-32768
7659949.143032032,2138188.1869706204,-32768
7660875.768465171,2138188.1869706204,-32768
7661802.393898309,2138188.1869706204,-32768
7662729.019331447,2138188.1869706204,-32768
7663655.644764585,2138188.1869706204,-32768
7664582.270197724,2138188.1869706204,-32768
7665508.895630862,2138188.1869706204,-32768
7666435.521064,2138188.1869706204,-32768
7667362.146497139,2138188.1869706204,-32768
7668288.771930277,2138188.1869706204,-32768
7669215.397363415,2138188.1869706204,-32768
7644196.51066868,2137261.5615374814,-32768
7645123.136101819,2137261.5615374814,-32768
7646049.761534957,2137261.5615374814,289
7646976.386968096,2137261.5615374814,289
7647903.012401233,2137261.5615374814,289
7648829.637834372,2137261.5615374814,289
7649756.263267511,2137261.5615374814,289
7650682.888700649,2137261.5615374814,288
7651609.514133787,2137261.5615374814,287
7652536.139566925,2137261.5615374814,285
7653462.765000064,2137261.5615374814,280
7654389.3904332025,2137261.5615374814,274
7655316.01586634,2137261.5615374814,268
7656242.641299479,2137261.5615374814,260
7657169.266732617,2137261.5615374814,271
7658095.892165756,2137261.5615374814,-32768
7659022.5175988935,2137261.5615374814,-32768
7659949.143032032,2137261.5615374814,-32768
7660875.768465171,2137261.5615374814,-32768
7661802.393898309,2137261.5615374814,-32768
7662729.019331447,2137261.5615374814,-32768
7663655.644764585,2137261.5615374814,-32768
7664582.270197724,2137261.5615374814,-32768
